시간,홈,득점,실점,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장,원정,득점,실점 ,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장
2022-12-29 0:00,사우샘스턴,1,1,3,2,35%,3,8,3,15,3,1,토트넘,1,1,13,9,65%,7,18,3,5,2,0
2022-12-29 0:00,왓포드,1,4,9,5,43%,4,13,0,12,0,0,웨스트햄,4,1,8,6,57%,5,12,1,12,1,0
2022-12-29 5:00,레스터 ,1,0,2,1,38%,1,12,3,8,0,0,리버풀,0,1,15,3,62%,12,11,1,11,1,0
2022-12-30 4:30,첼시,1,1,6,5,47%,10,7,1,14,4,0,브라이튼,1,1,13,5,53%,8,15,0,7,1,0
2022-12-30 5:15,브렌트포드,0,1,3,3,42%,3,13,0,12,0,0,맨시티,1,0,7,5,58%,5,12,3,10,0,0
2022-12-31 5:15,맨유,3,1,10,6,54%,7,14,2,5,0,0,번리,1,3,3,1,46%,5,7,4,10,0,0
2023-01-01 21:30,아스널,1,2,6,2,28%,5,7,1,13,4,1,맨시티,2,1,10,4,72%,5,14,2,5,2,0
2023-01-02 0:00,왓포드,0,1,5,2,30%,3,12,1,6,0,0,토트넘,1,0,9,7,70%,7,7,3,9,1,0
2023-01-02 2:30,팰리스,2,3,16,7,62%,9,19,0,6,0,0,웨스트햄,3,2,9,5,38%,1,6,2,17,2,0
2023-01-02 23:00,브렌트포드,2,1,7,3,46%,3,15,0,17,2,0,아스톤 빌라,1,2,9,4,54%,7,17,4,11,2,0
2023-01-02 23:00,에버턴,2,3,10,5,40%,8,13,1,5,1,0,브라이튼,3,2,7,5,60%,5,6,1,12,1,0
2023-01-02 23:00,리즈,3,1,10,5,55%,9,8,5,11,2,0,번리,1,3,4,2,45%,3,16,1,7,1,0
2023-01-03 1:30,첼시,2,2,10,5,58%,6,16,3,5,1,0,리버풀,2,2,7,5,42%,7,8,3,13,2,0
2023-01-04 2:30,맨유,0,1,6,2,51%,3,11,2,9,3,0,울버햄튼,1,0,11,6,49%,8,11,3,8,1,0
2023-01-12 4:45,사우샘스턴,4,1,6,4,54%,5,9,0,9,0,0,브렌트포드,1,4,5,5,46%,2,9,1,8,1,0
2023-01-13 4:45,웨스트햄,2,0,11,6,62%,11,11,4,9,0,0,노리치,0,2,3,2,38%,2,13,3,8,0,0
2023-01-15 5:00,브라이튼,1,1,11,3,64%,9,9,2,11,0,0,팰리스,1,1,2,1,36%,0,13,2,7,2,0
2023-01-15 21:30,맨시티,1,0,8,5,58%,9,10,3,11,0,0,첼시,0,1,3,1,42%,1,14,4,6,2,0
